GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1000,Alabama,89.757,88.685,90.772,90.849,91.156,90.932,91.005,90.259,91.122,89.938,87.154,88.288,87.451,88.139
2000,Alaska,106.228,107.289,103.817,105.107,103.55,102.644,103.412,104.43,105.048,104.947,104.514,102.82,100.789,104.439
4000,Arizona,102.793,103.615,100.639,99.287,98.414,98.764,98.052,97.901,98.968,97.78,97.517,97.847,99.323,96.721
5000,Arkansas,88.996,87.468,89.517,90.278,90.033,90.19,89.904,89.827,89.845,88.259,87.199,87.72,88.356,89.445
6000,California,109.949,109.211,108.281,108.046,108.473,108.26,108.341,109.26,108.544,110.882,111.896,110.989,111.919,111.797
8000,Colorado,102.979,102.001,100.291,102.45,102.875,102.989,102.218,102.731,102.252,102.979,100.162,102.419,103.871,103.009
9000,Connecticut,109.205,109.135,106.013,106.902,106.36,106.73,106.431,106.393,106.54,107.134,104.116,103.721,104.922,102.603
10000,Delaware,100.792,101.927,101.639,100.796,99.545,98.816,100.081,98.745,99.058,98.585,99.214,98.779,96.542,97.677
11000,District of Columbia,111.876,112.264,113.086,112.393,110.715,113.246,113.385,112.448,110.691,110.107,111.709,109.546,111.256,111.271
12000,Florida,101.779,100.873,100.774,101.224,101.29,101.015,101.035,101.517,101.479,100.959,100.463,99.843,100.713,101.43
13000,Georgia,94.78,92.3,95.152,94.049,95.706,95.311,95.327,95.095,95.503,95.309,94.763,94.313,94.417,95.784
15000,Hawaii,109.726,112.207,110.051,109.982,109.249,111.706,110.776,111.441,110.641,110.449,110.836,111.634,112.709,113.227
16000,Idaho,95.13,95.412,93.148,94.444,93.586,93.421,94.196,94.44,92.82,94.507,91.682,92.475,90.959,91.776
17000,Illinois,100.318,101.824,101.892,102.136,101.29,100.627,99.959,99.155,99.802,100.491,100.556,99.548,100.571,101.412
18000,Indiana,92.538,92.98,93.769,93.028,93.195,93.428,93.457,92.239,92.156,90.931,92.752,92.82,91.898,92.735
19000,Iowa,88.22,89.796,91.607,90.457,91.293,91.657,92.082,89.866,90.276,89.313,91.795,91.694,90.268,89.568
20000,Kansas,90.729,92.29,93.597,93.375,94.036,93.651,94.051,93.406,92.62,91.586,92.428,92.771,92.249,91.157
21000,Kentucky,90.135,88.983,90.646,91.046,90.816,91.56,91.277,90.873,90.565,89.887,89.015,89.529,89.039,89.124
22000,Louisiana,92.83,92.039,93.803,94.047,94.285,94.205,94.335,93.996,94.462,92.346,90.74,91.21,90.967,91.276
23000,Maine,97.834,97.382,95.436,95.936,96.206,96.659,93.133,95.748,94.844,97.317,97.617,94.86,97.706,97.205
24000,Maryland,108.452,109.806,108.048,109.162,107.087,108.162,107.686,107.715,106.853,106.845,106.384,105.159,106.419,106.223
25000,Massachusetts,105.707,104.638,104.398,104.299,103.7,102.687,104.235,104.505,107.435,107.301,107.621,107.369,109.117,106.555
26000,Michigan,95.54,95.747,95.628,94.959,94.731,95.072,95.536,93.809,93.591,92.604,94.38,95.288,94.557,94.253
27000,Minnesota,96.351,98.592,97.858,97.549,97.578,97.905,98.723,97.432,97.202,96.775,99.729,98.994,97.803,98.423
28000,Mississippi,89.157,86.837,89.445,89.927,89.126,89.755,89.761,89.178,89.165,87.674,86.095,86.49,85.844,86.601
29000,Missouri,89.35,90.998,93.537,92.926,92.927,93.522,94.397,92.967,92.489,91.809,91.922,92.561,92.219,92.022
30000,Montana,95.825,94.603,93.212,95.623,93.867,93.904,95.14,96.444,94.159,94.105,92.356,94.199,91.649,91.567
31000,Nebraska,90.842,91.673,92.985,92.462,93.087,92.835,92.92,92.259,91.662,89.751,91.768,92.382,92.454,91.751
32000,Nevada,101.56,103.617,100.868,102.055,101.707,99.773,99.192,98.649,97.399,99.973,96.177,98.826,97.115,95.543
33000,New Hampshire,105.908,103.578,102.874,102.339,101.885,101.615,101.418,102.462,104.413,105.653,103.727,104.061,105.258,102.51
34000,New Jersey,106.864,110.934,108.462,109.286,109.31,108.833,108.971,109.02,108.919,109.333,111.004,111.239,110.661,109.099
35000,New Mexico,94.928,96.101,94.628,96.923,96.537,95.472,95.415,94.613,94.089,95.721,91.658,92.743,91.634,89.907
36000,New York,111.057,110.656,109.54,110.462,109.519,109.438,108.746,109.478,109.862,109.869,109.573,109.583,110.104,109.504
37000,North Carolina,92.97,91.782,93.432,93.992,93.764,94.22,94.256,93.925,94.318,93.158,92.837,91.907,91.445,93.805
38000,North Dakota,86.837,89.394,90.909,90.447,93.81,93.122,93.455,92.781,91.657,88.588,91.225,93.366,92.246,91.103
39000,Ohio,92.513,93.451,93.42,92.402,93.15,93.256,93.188,92.396,92.618,91.938,92.954,93.28,92.102,92.459
40000,Oklahoma,90.868,89.898,91.599,92.083,92.261,92.416,92.582,92.065,92.118,90.872,89.81,89.573,89.829,90.269
41000,Oregon,97.6,99.886,98.824,99.362,100.435,99.767,98.954,100.191,99.192,101.484,104.616,103.924,103.427,103.032
42000,Pennsylvania,99.061,99.297,99.007,98.417,98.118,97.858,97.317,98.282,97.817,99.097,98.152,98.078,97.783,96.371
44000,Rhode Island,102.04,102.665,100.735,100.37,99.203,100.981,99.401,100.893,100.728,102.485,102.254,102.408,101.954,102.083
45000,South Carolina,92.693,91.771,93.357,93.928,93.414,93.829,93.546,93.74,94.421,92.892,92.221,91.572,91.035,93.693
46000,South Dakota,85.981,87.233,88.755,87.964,91.182,90.175,90.49,89.181,89.262,87.555,91.395,91.863,90.721,90.147
47000,Tennessee,92.05,90.837,92.804,93.355,93.843,93.551,93.185,93.131,94.288,93.105,89.579,91.214,90.541,90.854
48000,Texas,97.512,97.326,98.108,97.447,98.086,98.491,98.751,98.89,98.436,97.439,97.831,98.528,98.745,98.502
49000,Utah,97.4,100.007,97.633,99.629,99.301,98.563,97.733,97.647,96.631,98.77,95.826,97.125,95.185,94.592
50000,Vermont,101.024,100.767,99.171,98.701,99.373,99.891,98.307,100.081,99.491,100.273,100.3,99.456,102.073,98.66
51000,Virginia,103.274,102.571,103.968,103.488,102.64,103.629,103.616,103.761,103.022,101.457,102.096,100.152,101.1,102.278
53000,Washington,103.975,104.498,102.108,102.739,102.442,102.107,103.313,103.411,104.816,107.452,107.175,108.036,107.899,108.885
54000,West Virginia,88.145,86.94,89.319,89.445,89.157,89.971,90.333,91.005,90.482,88.827,89.207,88.323,87.365,90.763
55000,Wisconsin,93.336,94.102,94.644,93.898,94.206,94.018,94.203,93.502,93.577,93.532,93.973,94.492,92.657,93.347
56000,Wyoming,95.966,96.915,95.754,97.469,97.147,96.718,97.795,97.863,97.741,97.049,92.195,93.823,91.402,91.418
